ZIP_Code,county,lat,lon,cluster,risk_tier,cluster_prob,avg_fire_risk_score,avg_earned_premium,avg_premium_per_policy,avg_loss_ratio,high_risk_fraction,pct_premium_change
90001,Los Angeles County,34.20000000000002,-118.26000000000009,32,Urban Low-Risk,1.0,0.1975,837718.0,777.081347156695,0.24320060987219144,0.0,78.91553244058407
90002,Los Angeles County,34.20000000000002,-118.26000000000009,32,Urban Low-Risk,1.0,0.2,1184917.75,762.6366828312538,0.09836065282091394,0.0,82.04030130386572
90003,Los Angeles County,34.20000000000002,-118.26000000000009,-1,Outlier/Anomalous,0.0,0.1875,1210824.25,841.7165597598035,0.20895518390699622,0.0,76.2465431130557
90004,Los Angeles County,34.20000000000002,-118.26000000000009,22,Risk Tier 29,1.0,0.35250000000000004,3473150.75,2557.3844129636814,0.03986743511113561,0.0,71.0975831680655
90005,Los Angeles County,34.20000000000002,-118.26000000000009,-1,Outlier/Anomalous,0.0,0.3575,1108772.5,3598.87887296996,0.05616747820413977,0.0,64.42031467625917
90006,Los Angeles County,34.20000000000002,-118.26000000000009,34,Risk Tier 11,1.0,0.255,380666.75,1304.1430183599712,0.7490249893613705,0.0,67.33402997406691
90007,Los Angeles County,34.20000000000002,-118.26000000000009,34,Risk Tier 11,1.0,0.20500000000000002,375501.5,1294.8595127763758,0.20133934369226517,0.0,72.56513692490095
90008,Los Angeles County,34.20000000000002,-118.26000000000009,34,Risk Tier 11,0.7220999277606746,0.27749999999999997,2311123.75,1477.1001991410824,0.197692717289586,0.0,102.33729488735293
90011,Los Angeles County,34.20000000000002,-118.26000000000009,33,Risk Tier 6,0.9149279814375794,0.2075,1235400.0,894.7810939706378,0.18693402177379254,0.0,89.09270493623687
90012,Los Angeles County,34.20000000000002,-118.26000000000009,30,Risk Tier 28,1.0,1.0375,96541.25,1056.3674432693304,0.0,0.0,78.72605297738433
90013,Los Angeles County,34.20000000000002,-118.26000000000009,-1,Outlier/Anomalous,0.0,0.44,1481.25,760.8311143984221,0.0,0.0,2.9858564693556837
90014,Los Angeles County,34.20000000000002,-118.26000000000009,3,Risk Tier 18,1.0,0.0,373.0,600.0,0.0,0.0,-39.59390862944163
90015,Los Angeles County,34.20000000000002,-118.26000000000009,34,Risk Tier 11,1.0,0.3625,41347.0,1333.4482671444239,0.0,0.0,49.152643691903044
90016,Los Angeles County,34.20000000000002,-118.26000000000009,33,Risk Tier 6,1.0,0.2375,1989760.0,1046.1922783943469,0.13890870372533204,0.0,85.81532281106288
90017,Los Angeles County,34.20000000000002,-118.26000000000009,10,Risk Tier 21,1.0,0.135,5347.5,946.9901864850876,0.9022304027717627,0.0,263.01429190125594
90018,Los Angeles County,34.20000000000002,-118.26000000000009,-1,Outlier/Anomalous,0.0,0.255,1760678.5,1156.0801342382374,0.3723648330036292,0.0,96.91495635763152
90019,Los Angeles County,34.20000000000002,-118.26000000000009,34,Risk Tier 11,0.7220999277606746,0.245,3230578.5,1453.243740078909,0.050890805270330144,0.0,89.60082870286563
90020,Los Angeles County,34.20000000000002,-118.26000000000009,23,Risk Tier 32,1.0,0.5975,1653180.25,5787.449067549082,0.0,0.0,61.42097920629088
90021,Los Angeles County,34.20000000000002,-118.26000000000009,32,Urban Low-Risk,0.8403356478859936,0.09,3267.0,882.4212398373984,0.0,0.0,63.35669781931465
90022,Los Angeles County,34.20000000000002,-118.26000000000009,21,Wildland-Urban Interface High-Risk,0.8512763838482295,0.185,1186417.75,674.8842364429611,0.03476137794477955,0.0,91.13517459544957
90023,Los Angeles County,34.20000000000002,-118.26000000000009,21,Wildland-Urban Interface High-Risk,1.0,0.22749999999999998,582385.5,753.9044022753728,0.16285948872495468,0.0,100.0502708897687
90024,Los Angeles County,34.20000000000002,-118.26000000000009,23,Risk Tier 32,0.762168630998213,0.615,4362500.0,4147.121741680853,0.015791088746229597,0.006525801501313082,50.27390953983365
90025,Los Angeles County,34.20000000000002,-118.26000000000009,28,Risk Tier 17,0.6409492232892839,0.2875,1347968.25,1639.2774303526699,0.03008033988723666,0.0,69.2397054992829
90026,Los Angeles County,34.20000000000002,-118.26000000000009,34,Risk Tier 11,1.0,0.4375,2634248.5,1264.8176718248756,0.026131781339199585,0.0006426415187278811,88.8183542431009
90027,Los Angeles County,34.20000000000002,-118.26000000000009,22,Risk Tier 29,1.0,0.7925,4656212.5,2652.4346750799928,0.004903135485694278,0.007632656871256294,96.35848318938132
90028,Los Angeles County,34.20000000000002,-118.26000000000009,34,Risk Tier 11,1.0,0.28500000000000003,164970.5,1318.9571436144151,0.0,0.0,84.1082370143434
90029,Los Angeles County,34.20000000000002,-118.26000000000009,34,Risk Tier 11,1.0,0.2575,496468.75,1225.249656772069,1.3083240641986464,0.0,84.94511433203613
90031,Los Angeles County,34.20000000000002,-118.26000000000009,30,Risk Tier 28,1.0,0.955,967110.0,932.1737095575198,0.1255402854210573,0.001410040638862134,117.35882928338567
90032,Los Angeles County,34.20000000000002,-118.26000000000009,-1,Outlier/Anomalous,0.0,0.6525,1837919.5,811.4749968173907,0.03889443264770498,0.0006420298593368765,115.00967213631871
90033,Los Angeles County,34.20000000000002,-118.26000000000009,-1,Outlier/Anomalous,0.0,0.22499999999999998,472484.5,802.8656767204717,0.08539881171052612,0.0,103.64306142161783
90034,Los Angeles County,34.20000000000002,-118.26000000000009,34,Risk Tier 11,1.0,0.22,2663214.75,1405.5703935228237,0.026235430788839744,0.0,69.7357477258213
90035,Los Angeles County,34.20000000000002,-118.26000000000009,28,Risk Tier 17,0.6409492232892839,0.275,2894034.75,1802.9067208168412,0.021563388556164534,0.0,73.59316839215955
90036,Los Angeles County,34.20000000000002,-118.26000000000009,22,Risk Tier 29,1.0,0.3175,3118603.25,2510.3448386229884,0.025564636810315063,0.0,56.39796764963351
90037,Los Angeles County,34.20000000000002,-118.26000000000009,33,Risk Tier 6,1.0,0.2225,1014505.75,984.2650961221261,0.366079833371832,0.0,84.25988046932666
90038,Los Angeles County,34.20000000000002,-118.26000000000009,34,Risk Tier 11,0.7220999277606746,0.3075,415040.0,1443.1094160169955,0.0,0.0,101.20358906487925
90039,Los Angeles County,34.20000000000002,-118.26000000000009,34,Risk Tier 11,1.0,0.3825,2696306.75,1243.8446896382443,0.11719985294016658,0.0019529834735979878,91.0855269626536
90040,Los Angeles County,34.20000000000002,-118.26000000000009,21,Wildland-Urban Interface High-Risk,1.0,0.2025,343183.5,725.0791182161196,0.20437320446451776,0.0,94.66576519596083
90041,Los Angeles County,34.20000000000002,-118.26000000000009,30,Risk Tier 28,1.0,0.61,2479473.5,1119.84126488325,0.04220561336053702,0.0002956061107695218,105.29491346766532
90042,Los Angeles County,34.20000000000002,-118.26000000000009,30,Risk Tier 28,1.0,0.685,2913308.0,950.941538812247,0.14247435214338386,0.0009531288578762673,102.7647707403939
90043,Los Angeles County,34.20000000000002,-118.26000000000009,33,Risk Tier 6,1.0,0.22250000000000003,3551494.0,1104.514415197927,0.19400062651325817,0.0,83.93395959465782
90044,Los Angeles County,34.20000000000002,-118.26000000000009,33,Risk Tier 6,0.9149279814375794,0.21500000000000002,2284315.75,879.5484300244127,0.23368041847802198,0.0,84.58927359131026
90045,Los Angeles County,34.20000000000002,-118.26000000000009,34,Risk Tier 11,0.6639504769044842,0.27749999999999997,3875171.5,1158.1364985132507,0.037566784090041966,0.0,109.1946900179602
90046,Los Angeles County,34.20000000000002,-118.26000000000009,23,Risk Tier 32,0.7293839527906725,1.8399999999999999,7709309.5,3364.020225191382,0.03800936669865685,0.0863713926680573,60.79465131604659
90047,Los Angeles County,34.20000000000002,-118.26000000000009,-1,Outlier/Anomalous,0.0,0.215,3258595.25,876.8245619013873,0.13892335714555457,0.0,76.04452814594772
